cycle,price_wheat,price_rice,price_corn,price_water,price_labor,price_kernels,alive,deaths,gini_gold,total_money,avg_gold,max_gold,min_gold,avg_food,mean_capitalism,mean_survivalism,mean_sustainability,std_capitalism,std_survivalism,std_sustainability,unit_injected,unit_absorbed,unit_net,unit_processing,unit_kernels,bank_loaned,bank_interest_collected,bank_deposit_interest,landlords,bank_owned_land,foreclosures
1,3.578,7.216,5.479,1.944,3.0,9.223,100,0,0.5742,5609.23,38.89,259.0,0.0,141.8,0.158,0.223,0.045,0.494,0.384,0.52,1386.0,648.8,737.2,33.0,299,105.0,2.1,17.03,6,0,0
2,3.085,6.962,4.92,1.823,2.706,10.024,100,0,0.6198,7373.12,45.81,310.34,0.0,135.9,0.174,0.225,0.03,0.469,0.379,0.5,1725.76,290.05,1435.71,45.0,718,580.0,14.41,27.65,12,0,0
3,3.193,7.496,4.499,1.714,2.712,9.883,100,0,0.6399,8619.25,51.63,310.14,0.0,129.8,0.187,0.219,0.033,0.432,0.362,0.457,1229.51,55.7,1173.81,35.7,1066,465.0,23.68,34.23,23,0,0
4,3.193,6.935,4.467,1.747,2.718,10.822,100,0,0.5999,10257.08,58.85,323.73,0.0,122.8,0.191,0.218,0.026,0.405,0.352,0.424,1546.18,382.99,1163.19,49.1,1515,645.0,38.33,43.28,26,0,0
5,3.133,6.029,4.704,1.828,2.724,11.834,100,0,0.6433,10378.81,55.1,306.14,-4.0,120.0,0.182,0.218,0.036,0.399,0.345,0.414,556.59,637.8,-81.21,17.8,1632,375.0,42.41,48.21,29,0,0
6,3.22,6.028,4.552,1.97,2.996,12.632,100,0,0.5889,11632.23,57.78,475.91,0.0,116.0,0.183,0.22,0.028,0.387,0.336,0.385,1126.22,365.17,761.05,34.2,1937,810.0,63.1,57.97,36,0,0
7,3.341,5.357,4.718,2.092,2.996,12.204,100,0,0.6809,12654.9,59.73,602.21,-1.9,112.3,0.189,0.215,0.018,0.364,0.33,0.356,554.37,376.95,177.42,17.4,2074,1168.4,138.44,66.16,42,0,0
8,3.181,5.327,4.774,2.247,2.838,12.64,100,0,0.6538,12898.96,53.85,519.15,-2.0,109.5,0.191,0.206,0.015,0.353,0.312,0.338,601.16,418.05,183.11,18.2,2214,361.8,148.05,74.39,47,0,0
9,3.081,5.397,4.686,2.06,2.841,13.734,100,0,0.6441,13078.62,45.42,354.28,-2.0,107.7,0.194,0.209,0.005,0.342,0.306,0.31,431.12,570.15,-139.03,12.9,2291,572.3,158.31,84.52,48,0,0
10,3.219,5.235,4.601,2.208,2.844,13.53,100,0,0.6999,12996.89,38.71,418.97,-1.16,106.9,0.195,0.213,-0.004,0.327,0.295,0.296,144.32,531.13,-386.81,4.4,2289,515.0,154.43,90.35,49,0,0
11,3.008,4.861,5.095,2.088,2.847,14.442,100,0,0.7078,13564.41,35.69,310.37,-0.35,105.7,0.203,0.211,-0.012,0.31,0.284,0.284,367.21,298.16,69.05,11.4,2372,685.0,113.5,98.97,52,0,0
12,3.147,4.811,5.227,2.024,3.129,15.013,100,0,0.7122,14060.13,35.49,258.53,-2.35,104.3,0.193,0.209,-0.017,0.299,0.28,0.275,224.66,303.24,-78.58,6.3,2404,785.0,137.23,104.07,54,0,0
13,2.97,4.624,4.963,2.142,3.433,14.215,100,0,0.6978,14520.17,34.98,329.07,-2.35,102.0,0.192,0.206,-0.017,0.297,0.278,0.265,168.31,214.68,-46.37,4.6,2425,865.0,162.14,109.13,60,0,0
14,2.886,5.318,5.106,2.384,3.761,14.709,100,0,0.7576,15830.92,43.25,492.18,-2.35,101.1,0.174,0.198,-0.019,0.288,0.259,0.26,52.11,31.78,20.33,1.5,2426,1566.92,214.45,113.92,63,0,0
15,2.769,5.966,5.447,2.189,3.197,12.695,100,0,0.8278,15913.6,37.09,550.03,-4.0,99.3,0.171,0.197,-0.022,0.273,0.246,0.249,110.79,340.18,-229.39,3.1,2424,590.0,197.29,120.84,64,0,0
16,2.835,5.071,5.141,2.105,3.562,13.057,100,0,0.7674,16615.38,38.84,346.99,-3.67,98.1,0.171,0.198,-0.031,0.261,0.24,0.235,76.27,182.84,-106.57,2.0,2419,948.02,212.73,126.06,64,0,0
17,2.553,5.133,5.347,2.234,3.9,13.817,100,0,0.7585,17151.05,43.11,327.84,-4.0,97.5,0.166,0.198,-0.031,0.255,0.236,0.227,71.98,359.07,-287.09,2.0,2402,1109.91,246.55,127.13,65,0,0
18,2.531,5.056,5.332,2.092,3.5,14.392,100,0,0.7882,17232.52,36.42,562.91,-4.0,95.6,0.157,0.197,-0.034,0.244,0.235,0.226,56.13,517.67,-461.54,1.5,2372,765.0,253.65,134.56,65,0,0
19,2.793,4.755,5.503,2.079,3.833,15.521,100,0,0.8392,17958.47,35.47,687.87,-4.0,94.6,0.151,0.197,-0.038,0.239,0.227,0.216,134.34,443.27,-308.93,3.6,2369,1220.0,277.76,142.69,61,1,1
20,2.374,4.868,6.213,1.89,4.192,15.128,100,0,0.8171,19102.28,41.43,1141.23,-4.0,93.2,0.14,0.19,-0.042,0.226,0.219,0.207,154.08,256.7,-102.62,4.0,2383,1458.07,274.03,148.11,62,1,1
21,2.73,4.859,5.94,2.056,4.462,14.807,100,0,0.8194,19668.8,36.74,1102.29,-3.06,91.2,0.13,0.186,-0.043,0.225,0.215,0.197,156.57,383.04,-226.47,3.6,2385,1098.66,281.56,158.37,64,2,2
22,2.718,5.082,6.225,2.165,4.87,14.685,100,0,0.8148,20538.21,39.27,1007.16,-3.06,90.8,0.122,0.187,-0.045,0.22,0.209,0.186,103.95,1.2,102.75,2.5,2398,1080.03,312.77,164.46,67,2,2
23,2.586,5.242,5.968,2.303,4.355,15.672,100,0,0.8023,20747.4,33.43,860.52,-4.0,90.5,0.099,0.184,-0.044,0.214,0.198,0.189,200.43,500.77,-300.34,4.6,2401,693.53,247.17,172.32,68,2,2
24,2.441,5.314,5.648,2.317,4.755,14.677,100,0,0.8165,21182.05,31.08,813.88,-3.06,88.1,0.112,0.186,-0.052,0.205,0.198,0.188,146.23,86.5,59.73,3.5,2419,780.0,284.41,178.95,68,4,4
25,2.807,4.93,5.751,2.44,4.875,15.555,100,0,0.7832,22115.95,26.72,359.79,-3.26,86.6,0.115,0.18,-0.056,0.199,0.187,0.181,126.54,96.87,29.67,3.2,2433,1085.04,236.63,192.52,68,4,4
26,2.687,4.978,5.693,2.344,5.124,15.639,100,0,0.7813,22350.43,25.37,256.82,-4.0,83.7,0.11,0.182,-0.055,0.195,0.18,0.172,96.62,85.96,10.66,2.4,2440,473.75,236.64,196.17,70,5,5
27,2.929,5.221,6.257,2.366,4.843,15.183,100,0,0.7929,22560.74,23.87,272.6,-4.0,83.3,0.111,0.182,-0.05,0.196,0.175,0.169,51.81,120.41,-68.6,1.3,2434,331.72,168.36,199.74,69,6,6
28,2.97,5.186,5.972,2.454,4.18,13.902,100,0,0.7942,22631.7,19.3,259.93,-4.0,81.9,0.089,0.179,-0.046,0.199,0.169,0.163,100.74,350.72,-249.98,2.3,2424,411.57,158.91,204.96,71,10,10
29,3.282,5.213,5.759,2.113,4.32,14.486,100,0,0.8163,23408.86,21.25,258.44,-4.0,80.3,0.088,0.178,-0.045,0.202,0.169,0.166,112.86,91.75,21.11,2.7,2433,753.54,179.23,210.73,69,10,10
